"id","text_chunk"
"92","For example, twin studies suggest a genetic component to OCD. Grootheest et al (2005) conducted a review of more than 70 years of studies on twins and OCD using various methods. One of these methods compared the rates of OCD between identical twins and between non-identical twins. The researchers found it was far more likely for both identical twins to have OCD than for both non-identical twins to have OCD. This supports a genetic role in OCD: Identical twins have identical genetics and so if there is a genetic component to OCD it would make sense that both twins would be similarly prone to developing OCD. With non-identical twins, the different genes could explain why one twin was more likely to develop OCD than the other."
"93","Other studies have used gene mapping to identify correlations between certain genes and OCD. For example, Davis et al (2013) compared the genetic profiles of 1500 OCD sufferers with 5500 non-OCD controls. The researchers’ method (genome-wide complex trait analysis) looked for traits across the entire genome (rather than looking for individual genes) and found the OCD sufferers often shared similar genetic elements that were not present in the non-OCD controls.
Another biological mechanism for OCD is neural (i.e. brain and nervous system) abnormalities. These abnormalities may be structural and/or neurochemical."
"94","Brain scans consistently show that OCD sufferers have increased activity in the orbital frontal cortex area of the brain (e.g. Saxena and Rauch (2000)). The orbital frontal cortex is sometimes called the ‘worry circuit’ and is responsible for high-level decision making and thinking (as opposed to low-level primal instincts). When you have an impulse (e.g. to wash your hands when they are dirty), the orbital frontal cortex translates that impulse into action (e.g. washing your hands), and performing that action reduces the impulse. However, with OCD sufferers, it may be that the overactivity of the orbital frontal cortex means these impulses continue even after performing the behaviour, becoming obsessions and compulsions."
"95","Other studies implicate hyperactivity of the basal ganglia in OCD (e.g. Max et al (1995)).
Another possible neural explanation of OCD is neurochemistry. For example, several studies (e.g. Hu et al (2006)) suggest that OCD sufferers have lower levels of the neurotransmitter serotonin compared to controls. Some brain scans also suggest OCD sufferers have higher dopamine levels than healthy controls.
Biological treatment of OCD aims to address the biological mechanisms that cause OCD. The most common biological treatment for OCD is drug therapy."
"96","The most common drugs prescribed for OCD are selective serotonin reuptake inhibitors (SSRIs) such as Prozac. SSRIs are also known as antidepressants. SSRIs work by increasing serotonin levels, which often reduces obsessive thoughts and compulsive behaviours to a level that allows the patient to live a more normal life. The effectiveness of SSRIs fits with the neural explanation of OCD that OCD is caused (at least in part) by low serotonin."
"97","If OCD symptoms do not improve with SSRIs, a doctor may also prescribe antipsychotic drugs such as risperidone. One mechanism of risperidone is to reduce dopamine activity, which supports the neural explanation that high dopamine contributes to OCD. There are multiple different ways to approach the study of psychology. For example, a biological approach might explain depression as a chemical imbalance, a cognitive approach might explain it in terms of maladaptive thought processes, and learning approaches might explain it as a result of negative life experiences."
"98","Note: A level students need to understand the basic assumptions of these 5 approaches and be able to evaluate and compare them with one another. AS students only need to learn the basic assumptions of the first 3, and are not required to compare these approaches.
The topic also includes details on the origins of psychology.
Practice papers with A* answers book #2 contains five full exam papers with five approaches in psychology sections. These questions are closely based on the format of the AQA papers and are designed to be possible questions that could come up in the 2023 exam. 
Example question: Outline and evaluate social learning theory. Refer to Timmy’s behaviour in your answer. [16 marks]"
"99","Humans have studied the mind in some sense for thousands of years (e.g. philosophers, theologians, scientists). But the dedicated study of psychology – as we know it today – only started taking form in the late 19th Century with Wilhelm Wundt.
Wundt founded the first psychology laboratory – the Institute of Experimental Psychology – in 1879 and is often called the ‘father of experimental psychology’. As part of his experiments, Wundt pioneered the technique of introspection. Introspection involves looking ‘inward’ and examining one’s thoughts, emotions, and sensations. For example, an experiment might involve showing subjects a picture, and the subjects would then report back their inner experiences."
"100","For Wundt, introspection was not about reporting whatever random thing the subject felt. It was intended as a highly systematic and controlled process – a science. Wundt carefully controlled the environments and researchers were trained to adopt the right mental state and then report back the specific data Wundt wanted. Despite this rigour, Wundt often found that reports were highly subjective and varied from person to person, which meant they were unreliable.
Since Wundt, a variety of approaches to psychology have emerged – some more ‘scientific’ than others."
"101","Science is concerned with empirically observable facts that can be repeated and measured. For example, by repeatedly observing and measuring objects falling to the ground, scientists can deduce the laws that govern these observations (e.g. gravity). In theory, the science of psychology would observe human behaviour and deduce the laws that govern it in a similar way.
Learning approaches measure and explain human behaviour as a product of environment and experience. The A level psychology syllabus specifies two learning approaches: behaviourism and social learning theory.
The behaviourist approach to psychology explains behaviour as a result of learning from experience, such as via classical and operant conditioning."
"102","Classical conditioning is a key principle of behaviourism. It explains how behaviours are learned from experience via (subconscious) association.
The earliest and most famous documentation of classical conditioning is found in Pavlov (1927). Pavlov demonstrated how dogs could be conditioned to salivate (a natural response to food) in response to a bell ringing (a neutral stimulus) by ringing the bell at the same time as presenting the dog with food. The repeated occurrence of the bell ringing at the same time as the food meant the dogs learned to associate the bell with food. Eventually, this association produced a conditioned response in the dogs, who would salivate at the sound of the bell even when there was no food."
"103","As mentioned, a basic assumption of behaviourism is the validity of animal studies in explaining human behaviour. And, in the case of classical conditioning, there are plenty of human examples like the one above. For example, hearing a phone notification go off (even if it’s someone else’s with the same tone) may cause you to instinctively reach into your pocket for your phone.
Other examples of classical conditioning in humans can be seen in the behaviourist explanation of phobias.
Operant conditioning is another principle of behaviourism. It explains how behaviours are learned from and reinforced in response to consequences."
"104","In one variation of the experiment, pressing the response lever caused food to come out of the food dispenser. The rat quickly learned this consequence and so would repeat the behaviour to get more food. This is an example of positive reinforcement.
Another variation of the experiment demonstrated learning through negative reinforcement. In this setup, an electrified grid would cause pain to the rat but pressing the response lever turned the electrified grid off. Similar to the other experiment, the rats quickly learned to go straight to the response lever when put in the box.
These experiments demonstrate how learning through positive and negative reinforcement increases the chances of a behaviour being repeated."
"105","Like behaviourism, the social learning approach to psychology also explains behaviour as a result of learning from experience, but adds the extra element of learning by observing others’ behaviour.
Bandura and Huston (1961) observed that children imitate the behaviours of role models they identify with. The aim of another study, Bandura et al (1961), was to see if this behavioural imitation continued even when the role model was no longer present.
People imitate (copy) the behaviours of role models they identify with (i.e. people they are like or want to be like). For example, the fact that children were more likely to imitate/model the behaviour of the role model if they were of the same gender could be because they were more likely to identify with the role model."
"106","Another key concept is vicarious reinforcement, which is where a person is more likely to imitate a behaviour if they observe the model being rewarded for it. Vicarious reinforcement is demonstrated in Bandura and Walters (1963), which was another variation of the Bobo the doll where the model was either praised or punished for acting aggressively towards the doll. Children who saw the model praised for their aggression toward the doll were more likely to imitate this aggressive behaviour."
"107","As mentioned above, social learning theory is not entirely behaviourist. We don’t just automatically imitate every behaviour we observe. Instead, there are various cognitive processes in between that determine whether someone imitates a behaviour or not.
The cognitive approach to psychology explains behaviour as a result of cognitive processes such as thoughts, beliefs, and perceptions.
Schema are a key part of the cognitive approach. They are cognitive frameworks, mental models, patterns of thought and behaviour. They are mental short-cuts, ways of organising information and understanding the world.
Basically, schema covers a lot of things. Our schemas inform our perception of the world – they are the cognitive lens through which we make sense of reality."
"108","Schema are formed from experience. We form schema blueprints and use them to interpret the past, categorise information in the present, and form expectations/predictions for the future. Because people have different experiences, they have different schema.
Schema change over time. For example, a young child might form the simple schema that dog = 4 legged furry animal. But this schema would include cats, too. So, over time, the child refines its schemas to become more detailed.
However, once a schema is formed, it can be difficult to change: People tend to be biased towards information that fits pre-existing schema, and often ignore or re-interpret contradictory information in order to fit their existing schema."
"109","Advocates of the cognitive approach often think of mental processes as analogous to computer processes. With a computer, data goes in, it gets processed, then you get an output."
"110","Obviously this is a very simple example, but all computer programs work in this way. When you’re playing a game, for example, controller inputs are processed, which changes the output displayed on screen. When you input a URL in your browser, it gets processed (through multiple computers) until the browser displays the output of the website you entered."
"111","So, the cognitive approach explains behaviour as a series of processing steps analogous to the processing steps of a computer. These processing steps can be broken down into theoretical models, which can be tested against observation to see if they are accurate.
The cognitive approach uses theoretical models to explain the cognitions (mental processes) behind behaviour.
An example of such a theoretical model is the multi-store model of memory from elsewhere in the course: It explains how information flows through various components for processing. For example, paying attention to sensory information causes it to be transferred (processed) to short-term memory."
"112","Cognitive neuroscience is the study of the relationship between brain activity and mental processes. It looks at the biological workings underlying cognition and so can be thought of as a mixture between the cognitive and biological approaches."
"113","As technology has advanced (most notably brain-scanning techniques such as fMRI and PET), scientists have been able to identify correlations between certain types of brain activity and certain types of mental processes. For example, Braver et al (1997) observed that greater working memory load (a cognitive concept) is correlated with greater prefrontal cortex activity (a biological concept). This suggests the underlying biological basis for working memory is situated in that area of the brain. As cognitive neuroscience advances, more cognitive processes might be analysable in biological terms.
The biological approach to psychology explains behaviour as a result of biological factors such as genetics, biological structures, and neurochemistry."
"114","Just as physical characteristics – such as eye colour and hair colour – are determined by genetics inherited from parents, so too are certain behavioural tendencies.
An example of this is the genetic explanation of OCD from elsewhere in the course. But other psychological traits – e.g. intelligence, or aggression – also have a genetic component that can be passed on from parents to children.
Twin studies can confirm the genetic influence of psychological traits.
The concordance rate is the rate at which twins share the same trait. If the concordance rate for a psychological disorder is higher among identical twins (monozygotic twins) than non-identical twins (dizygotic twins), this suggests a genetic component to the disorder."
"115","The reason for this is that the identical twins have 100% identical genetics whereas non-identical twins only share 50% of their genes. So, if a disorder is entirely determined by genetics, then identical twins would both develop the disorder because they share identical genes. However, because non-identical twins only share 50% of their genes, there is a chance that only one of them will inherit the genetics for the disorder but not the other.
In reality, most psychological disorders are a combination of genetic and environmental factors. However, the examples above illustrate how there is a strong genetic component to many psychological disorders. If one identical twin has OCD, for example, there is a 68% chance the other twin will too."
"116","If psychological behaviours and psychological disorders have a genetic component (as the biological approach believes), then it follows that these psychological traits would be subject to evolution in the same way that physical traits are.
For example, intelligence: If there was a gene that made a human better at hunting food, then the human with that gene would be less likely to starve to death and so more likely to pass on their genes to the next generation."
"117","Another example of evolved psychological traits could be Bowlby’s monotropic theory of attachment. Bowlby argued that babies evolved to develop an attachment to one person – usually its mother. This behaviour makes the baby more likely to survive and pass on its genes because a baby that does not develop an attachment will be left to fend for itself in a dangerous environment and probably die before it gets the chance to procreate.
Note: This topic is A level only, you don’t need to learn about the psychodynamic approach if you are taking the AS exam only.
The psychodynamic approach to psychology explains behaviour as a result of unconscious processes."
"118","The psychodynamic approach to psychology explains behaviour as a result of unconscious processes.
Freud’s psychoanalytic theory is the most influential example of a psychodynamic approach to psychology. It emphasises the role of the unconscious mind in determining behaviour.
A lot of significant psychological activity happens below the level of what is consciously available. However, these unconscious thoughts often bubble to the surface in things like dreams and ‘Freudian’ slips of the tongue (e.g. accidentally calling your girlfriend ‘Mum’). Psychoanalysts use psychoanalysis to identify and interpret these unconscious thoughts and their meanings, which then serve as a basis for treating psychological disorders."
"119","According to this theory, behaviour is determined by the interaction of these three parts. The ego sits in the middle and tries to balance the competing demands of the id (i.e. base biological drives) and superego (i.e. moral beliefs about right and wrong). Improper balance between the id and superego creates anxiety and is the cause of mental disorders. One way in which the mind resolves these conflicts is via defence mechanisms.
According to Freud, normal development in childhood involves passing through five psychosexual stages. At each stage, a conflict must be resolved before moving on to the next stage. If a conflict is not resolved, the child becomes stuck at that stage, which affects their behaviour as an adult."
"120","An example of getting stuck: If you’ve ever heard someone describe a person as ‘anal’ and thought it was a weird word to describe someone who’s obsessive about detail, it comes from Freud. According to the theory, if toilet training is too strict, it can manifest as a (anal retentive) personality that is obsessive about details, tidiness, routine, etc. If toilet training is too relaxed, it manifests the opposite personality (anal expulsive), i.e. messy and disorganised.
Another famous example of psychosexual conflict is the Oedipus complex, which occurs at the phallic stage. According to Freud, boys develop a sexual attraction towards their mother during this stage and a hatred of their father."
"121","Note: This topic is A level only, you don’t need to learn about humanistic psychology if you are taking the AS exam only.
Humanistic psychology rejects scientific and objective explanations of behaviour, instead arguing that human experience is subjective and that humans have free will to choose their behaviour.
Free will is the philosophical view that humans are able to make choices for themselves – without being controlled by the influences of biology or environment. It is a key assumption of the humanistic approach. Humanistic psychologists see humans as free to change and make decisions that lead to self-actualisation."
"122","The humanistic approach believes all humans have a desire to achieve self-actualisation. Self-actualisation means fulfilling your potential – developing your abilities and skills, successfully deploying them, and enjoying doing so. Because each human is different, self-actualisation will differ from person to person.
Maslow’s (1943) view of self-actualisation involves satisfying 5 levels in a hierarchy of needs.
At the bottom of the hierarchy are the most essential physiological needs – without things like food, water, and air to breathe, you die. The next most essential needs are safety (e.g. having a home), followed by social (e.g. having friends and romantic relationships), and then esteem needs (e.g. a job you are good at)."
"123","These lower levels of the hierarchy are deficiency needs. A person without these basic needs is lacking and must address them before they can reach the final stage of the hierarchy: self-actualisation.
Self-actualisation is a growth need. It involves fulfilling your full creative, moral, and intellectual potential. A self-actualising person is one who is constantly striving towards and achieving a worthy goal. Maslow gave various examples of self-actualised people, including Albert Einstein, but believed only around 1% of people truly achieve self-actualisation."
"124","Rogers’ view of self-actualisation builds on Maslow’s hierarchy. According to Rogers, self-actualisation also involves unconditional positive regard and congruence between how a person sees themself and their ideal version of themself.
Rogers argues that self-actualisation requires positive self-regard (i.e. a positive opinion of yourself).
But if a person’s parents impose conditions of worth on them, them are less likely to have positive self-regard. For example, if a parent only praises and loves their child when they do well in school, or win competitions, then their love is conditional. This can cause feelings of low self-esteem and worthlessness that prevent self-actualisation."
"125","In contrast, children whose parents have unconditional positive regard for them are more easily able to achieve self-actualisation.
Congruence refers to how closely two things overlap.
According to Rogers, self-actualisation requires that a person’s self-image (how they view themself) is highly congruent with, i.e. similar to, their ideal self (how they would like to be).
If the gap between a person’s self-image and their ideal self is too high (low congruence), it will be harder to achieve self-actualisation.
The humanistic approach has been influential on counselling therapy, which originated with Rogers."
"126","The humanistic approach has been influential on counselling therapy, which originated with Rogers.
The aim of Rogers’ counselling psychology (also called person-centred therapy) is to increase congruence between the client’s self-image and ideal self and increasing their feelings of self-worth. Ultimately, this helps the client to self-actualise and fulfil their potential. Note: A level students need to understand all these topics. AS students only need to understand the first 2 – i.e. they do not need to learn about the brain’s physiology or biological rhythms."
"127","The nervous system is the main system that controls the mind and body. It takes in information from the environment and elsewhere in the body (transmitted across neurons) and co-ordinates a wide range of conscious functions such as thinking and movement, as well as unconscious functions like the control of organs (e.g. heart rate, digestion) and glands."
"128","The central nervous system is the main control system of the body. It consists of two parts: the brain and spinal cord.
The spinal cord connects the brain with the peripheral nervous system. In other words, it connects the brain with the rest of the body and with the external world. The spinal cord is also responsible for some unconscious movements, such as reflexes (e.g. the one where you get hit on the knee and your leg kicks).
The peripheral nervous system goes beyond the central nervous system to connect it with the rest of the body and the external world. It consists of two parts: the somatic nervous system and the autonomic nervous system."
"129","The somatic nervous system is responsible for voluntary movement (e.g. walking). It transmits information between the central nervous system and the senses (i.e. it connects the brain to the external world) and is under conscious control.
The autonomic nervous system is responsible for transmitting information between the central nervous system and the internal organs (i.e. it connects the brain to the rest of the body). Unlike the somatic nervous system, it is involuntary and not under conscious control.
In general, sympathetic functions increase bodily activity to prepare for action – an example of this is the fight or flight response. In contrast, parasympathetic functions decrease bodily activity to conserve energy."
"130","Neurons are the main components of the nervous system. They are how information is transmitted from one part of the nervous system to another. There are around 100 billion neurons in the brain and another 1 billion in the spinal cord."
"131","Signals are passed within neurons electrically. At rest, the neuron is negatively charged but becomes positively charged when activated, which sends an electrical impulse through the axon.
Once this electrical signal reaches the axon terminal, synaptic transmission enables the signal to pass along to the next neuron in the chain.
Neurons are separated by small gaps called synapses, and synaptic transmission is the process of sending information from one neuron to another.
The gap between two neurons is called the synaptic cleft (or synapse). When the electrical signal within a neuron reaches the axon terminal of that neuron, neurotransmitters are released from vesicles and cross over the synapse where they are taken up by receptors in the dendrites of the other neuron."
"132","Whereas signals within neurons are transmitted electrically, signals between neurons are transmitted chemically. In other words, neurotransmitters are chemicals. When a neurotransmitter is taken up by the receptor of the next neuron, it is converted back to an electrical signal which passes along the axon of that neuron until it reaches the axon terminal where the chain can continue.
For example, serotonin has a generally inhibitory effect. When serotonin binds to the receptor of a neuron, it increases the negative charge of that neuron, making it less likely to fire. In contrast, glutamate has an excitatory effect. So, if glutamate outweighs serotonin in a neuron, the net effect is increased likelihood of that neuron firing."
"133","The endocrine system is a system of glands that are responsible for the release of hormones. The pituitary gland (the ‘master gland’) of the endocrine system is linked to the nervous system via the hypothalamus, which co-ordinates and regulates the release of hormones from glands."
"134","Hormones are chemicals that communicate information throughout the body. Different hormones are produced and released by different glands in the body.
The endocrine system transmits information chemically, and operates much more slowly than the nervous system. It is primarily regulated via the pituitary gland (the ‘master’ gland), which connects the endocrine system to the nervous system (via the hypothalamus).
You don’t need to remember all the specific glands and hormones and their effects for A level psychology. Instead, the main one the syllabus focuses on is adrenaline.
Note: This topic is A level only, you don’t need to learn about the brain’s physiology if you are taking the AS exam only."
"135","Early scientists tended to see the brain in a holistic way, meaning they saw all areas of the brain as used for all functions. More recent (i.e. >20th century) scientists now tend to take a more localised approach. Different areas of the brain appear to be responsible for different functions, and damaging these areas effects those functions.
The first way the brain can be divided is laterally, i.e. a left half and a right half. These halves are called hemispheres. Each of the two hemispheres can be further divided into four lobes: frontal, parietal, occipital, and temporal."
"136","The two hemispheres are not symmetrical – they do different things. For example, the left hemisphere tends to be more involved in language processing, whereas the right hemisphere tends to be more involved in processing spatial relationships.
As a general rule, information from the left side of the body is processed by the right hemisphere and vice versa (contralateral). For example, damage to the motor cortex in the right hemisphere will affect the person’s ability to move their left side, and damage to the auditory cortex in the left hemisphere will affect a person’s hearing in their right ear.
The two hemispheres of the brain are connected by a bundle of nerve fibers called the corpus callosum."
"137","In rare cases of extreme epilepsy, a surgeon may cut the corpus callosum (corpus callosotomy), separating the right and left hemispheres from each other. This contains any epileptic seizures to just one side of the brain, reducing their severity.
Localisation of function refers to identifying specific areas of the brain that correspond to specific functions. For example, damage to the auditory cortex in the brain can damage hearing, whereas damage to the motor cortex may reduce a person’s ability to move. This suggests these functions are localised within these areas of the brain."
"138","The motor cortex of the brain is responsible for voluntary movement, such as walking. It is located in the frontal lobes of each hemisphere. However, basic involuntary movements (like coughing) are controlled by other parts of the brain.
So, damage to the motor cortex may limit a person’s motor skills. For example, a person with a damaged motor cortex may have difficulty holding a pen.
The somatosensory cortex of the brain is responsible for sensing physical sensations on the skin, like pressure and heat. It is located in the parietal lobes of each hemisphere."
"139","The number of neurons in the somatosensory cortex differs according to body part. For example, there are many more neuronal connections dedicated to processing information from the hands than the ankles because people use their hands to feel things much more commonly than they do their ankles.
The visual cortex of the brain is responsible for processing visual information from the eyes. It is located in the occipital lobes of each hemisphere. The visual cortex is contralateral: The right hemisphere processes data from the left of a person’s field of vision (both eyes) and vice versa.
So, damage to the visual cortex of the right hemisphere may make it difficult for a person to perceive objects to the left of them."
"140","The auditory cortex of the brain is responsible for processing sound. It is located in the temporal lobes of each hemisphere. The auditory cortex is also contralateral: The right hemisphere processes sound from a person’s left ear and vice versa.
So, damage to the auditory cortex of the left hemisphere may cause hearing difficulties in a person’s right ear.
As mentioned, language processing primarily happens in the left hemisphere. There are two areas that are particularly important for language: Broca’s area and Wernicke’s area."
"141","The Broca’s area is the main area where speech is produced. It is located in the frontal lobe of the left hemisphere.
The Broca’s area was identified by and named after Pierre Paul Broca in the mid 19th Century. From post-mortem autopsies, Broca observed that patients who’d had difficulty producing words had lesions (damage) in this area of the brain.
Damage to the Broca’s area causes Broca’s aphasia (also called expressive aphasia), a condition characterised by slow speech, lack of fluency, and an inability to find the right words. Despite difficulties producing speech, people with Broca’s aphasia often have normal language comprehension – i.e. they understand what others are saying."
"142","Another important (but separate) area for language is Wernicke’s area. The Wernicke’s area is primarily responsible for language comprehension (both written and spoken). It is located in the temporal lobe.
Damage to the Wernicke’s area causes Wernicke’s aphasia (also called receptive aphasia). Patients with Wernicke’s aphasia typically have no problems producing speech – they speak in a fluent and effortless way – but the content of what they say often lacks meaning."
"143","Just like how plastic can be moulded and shaped, so too can the brain: New neuronal connections can be formed and old ones removed. Neuroplasticity is this ability of the brain to change its physical structure to perform different functions.
In childhood, the brain is highly plastic. This plasticity enables infants and children to quickly learn new skills, adapt to their environment, and recover from brain injury. Neuroplasticity reduces with age, but still remains: Unused pathways are removed, commonly used pathways are strengthened, and new pathways can be formed.
There are many ways psychologists and scientists study the brain. These methods are used to better understand how the brain works (e.g. where functions are localised) and diagnose and treat illness."
"144","Functional magnetic resonance imaging (fMRI) is a form of brain scanning. It uses magnetic fields to measure blood flow and oxygenation in the brain.
When an area of the brain is highly active, that area needs more oxygen and greater blood flow to provide this oxygen. By measuring blood flow and oxygenation, fMRI scanners enable researchers to identify which areas of the brain are activated during certain tasks."
"145","The example fMRI scans above are from Ovaysikia et al (2011). In this study, the researchers measured brain activity during two tasks: Reading words and recognising facial expressions. As can be seen from the fMRI scan above, the different tasks increased brain activity in different areas.
An electroencephalogram (EEG) is a scan of the brain’s electrical activity. An EEG scan is performed by attaching electrodes to the scalp or by using a hat with electrodes attached.
The electrodes detect electrical activity in the brain cells beneath them. So, the more electrodes that are used in an EEG, the more complete a picture of brain activity the EEG can provide."
"146","Event-related potentials (ERPs) are closely related to EEG scans. They use the same equipment but use statistical techniques to measure changes in brain activity in response to a stimulus. For example, the EEG could initially provide a baseline picture of brain activity, then researchers could introduce a stimulus (e.g. giving a subject some food to eat) and use ERPs to determine how brain activity changed in response."
"147","A post-mortem is a physical examination of the brain after a person has died. By physically analysing a brain (for example, by weighing it, dissecting parts of it, and comparing it to neurotypical (‘normal’) brains) and cross-referencing this with the person’s behaviour in life (e.g. any psychological disorders the person had) the examiner can learn more about the causes of behaviours and psychological disorders.
An example of this is described above: From post-mortem analysis of the brains of patients with speaking difficulties, Pierre Paul Broca identified that the Broca’s area of the brain is important for speech production.
Note: This topic is A level only, you don’t need to learn about biological rhythms if you are taking the AS exam only."
"148","Circadian rhythms are biological cycles lasting approximately 24 hours. An example of a circadian rhythm is the sleep/wake cycle: You might cycle between sleeping for 8 hours when it gets dark and being awake for 16 hours during the day, for instance."
"149","Examples of endogenous pacemakers that control circadian rhythm include systems that release hormones such as melatonin, systems that regulate body temperature, and systems that control metabolism and digestion. The main system that controls circadian rhythms is the suprachiasmatic nucleus (SCN).
These internal processes are influenced by exogenous zeitgebers – perhaps the most obvious of which is sunlight. For example, the darkness of night is thought to trigger melatonin release, which makes you feel tired and want to go to bed.
Infradian rhythms are biological cycles lasting more than 24 hours. An example of an infradian rhythm is the human menstrual cycle: Women typically ovulate once every 28 days."
"150","As with circadian rhythms, infradian rhythms are controlled by endogenous pacemakers. For example, hormones such as estrogen and progesterone are crucial to the menstrual cycle.
Infradian rhythms can also be influenced by exogenous zeitgebers. For example, Stern and McClintock (1998) demonstrated that women’s menstrual cycles change when exposed to pheromones from other women.
One complete sleep cycle through all these stages will typically take around 90 minutes. So, during a full night’s sleep, a person may repeat this cycle four or five times. Note: Unlike all other sections across the 3 exam papers, research methods is worth 48 marks instead of 24. Not only that, the other sections often include a few research methods questions, so this topic is the most important on the syllabus!"
"151","Practice papers with A* answers book #2 contains five full exam papers with five research methods sections. These questions cover the different types of study, how findings are reported, and have several worked examples of those tricky maths questions! 
Example question: Design a matched pairs experiment the researchers could conduct to investigate differences in toy preferences between boys and girls. [12 marks]
Each of these methods has its strengths and weaknesses. Different methods may be better suited to different research studies."
"152","The experimental method looks at how variables affect outcomes. A variable is anything that changes between two situations (see below for the different types of variables). For example, Bandura’s Bobo the doll experiment looked at how changing the variable of the role model’s behaviour affected how the child played.
A matched pairs design is another form of independent groups design. Participants are selected. Then, the researchers recruit another group of participants one-by-one to match the characteristics of each member of the original group. This provides two groups that are relevantly similar and controls for differences between groups that might skew results. The experiment is then conducted as a normal independent groups design."
"153","The controlled environment of a laboratory experiment minimises the risk of other variables outside the researchers’ control skewing the results of the trial, making it more clear what (if any) the causal effects of a variable are. Because the environment is tightly controlled, any changes in outcome must be a result of a change in the variable.
However, the controlled nature of a laboratory experiment might reduce its ecological validity. Results obtained in an artificial environment might not translate to real-life. Further, participants may be influenced by demand characteristics: They know they are taking part in a test, and so behave how they think they’re expected to behave rather than how they would naturally behave."
"154","The observational method looks at and examines behaviour. For example, Zimbardo’s prison study observed how participants behaved when given certain social roles.
An observational study will use behavioural categories to prioritise which behaviours are recorded and ensure the different observers are consistent in what they are looking for.
Rather than writing complete descriptions of behaviours, the behaviours can be coded into categories. For example, IS = interacted with stranger, and AS = avoided stranger. Researchers can also create numerical ratings to categorise behaviour, like the anxiety rating example above."
"155","Inter-observer reliability: In order for observations to produce reliable findings, it is important that observers all code behaviour in the same way. For example, researchers would have to make it very clear to the observers what the difference between a ‘3’ on the anxiety scale above would be compared to a ‘7’. This inter-observer reliability avoids subjective interpretations of the different observers skewing the findings.
Note: Don’t get event and time sampling confused with participant sampling, which is how researchers select participants to study from a population.
Self-report methods get participants to provide information about themselves. Information can be obtained via questionnaires or interviews."
"156","A questionnaire is a standardised list of questions that all participants in a study answer. For example, Hazan and Shaver used questionnaires to collate self-reported data from participants in order to identify correlations between attachment as infants and romantic attachment as adults.
In an interview, participants are asked questions in person. For example, Bowlby interviewed 44 children when studying the effects of maternal deprivation.
Interviews can also be a cross between the two – these are called semi-structured interviews.
Note: This topic is A level only, you don’t need to learn about case studies if you are taking the AS exam only."
"157","Case studies are detailed investigations into an individual, a group of people, or an event. For example, the biopsychology page describes a case study of a young boy who had the left hemisphere of his brain removed and the effects this had on his language skills.
In a case study, researchers use many of the methods described above – observation, questionnaires, interviews – to gather data on a subject. However, because case studies are studies of a single subject, the data they provide is primarily qualitative rather than quantitative. This data is then used to build a case history of the subject. Researchers then interpret this case history to draw their conclusions.
Most case studies focus on unusual individuals, groups, and events."
"158","Most case studies focus on unusual individuals, groups, and events.
Many case studies are longitudinal. This means they take place over an extended time period, with researchers checking in with the subject at various intervals. For example, the case study of the boy who had his left hemisphere removed collected data on the boy’s language skills at ages 2.5, 4, and 14 to see how he progressed.
This section looks at how science works more generally – in particular how scientific studies are organised and reported. It also covers ways of evaluating a scientific study."
"159","Studies will usually have an aim. The aim of a study is a description of what the researchers are investigating and why. For example, “to investigate the effect of SSRIs on symptoms of depression” or “to understand the effect uniforms have on obedience to authority”.
Studies seek to test a hypothesis. The experimental/alternate hypothesis of a study is a testable prediction of what the researchers expect to happen.
Either the experimental/alternate hypothesis or the null hypothesis will be supported by the results of the experiment.
It’s often not possible or practical to conduct research on everyone your study is supposed to apply to. So, researchers use sampling to select participants for their study."
"160","For example, the target population (i.e. who the results apply to) of Asch’s conformity experiments is all humans – but Asch didn’t conduct the experiment on that many people! Instead, Asch recruited 123 males and generalised the findings from this sample to the rest of the population.
Researchers choose from different sampling techniques – each has strengths and weaknesses.
The random sampling method involves selecting participants from a target population at random – such as by drawing names from a hat or using a computer program to select them. This method means each member of the population has an equal chance of being selected and thus is not subject to any bias."
"161","The systematic sampling method involves selecting participants from a target population by selecting them at pre-set intervals. For example, selecting every 50th person from a list, or every 7th, or whatever the interval is.
The stratified sampling method involves dividing the population into relevant groups for study, working out what percentage of the population is in each group, and then randomly sampling the population according to these percentages.
For example, let’s say 20% of the population is aged 0-18, and 50% of the population is aged 19-65, and 30% of the population is aged >65. A stratified sample of 100 participants would randomly select 20x 0-18 year olds, 50x 19-65 year olds, and 30x people over 65."
"162","In addition to the variables actually being investigated (independent and dependent), there may be additional (unwanted) variables in the experiment. These additional variables are called extraneous variables.
Researchers must control for extraneous variables to prevent them from skewing the results and leading to false conclusions. When extraneous variables are not properly controlled for they are known as confounding variables."
"163","For example, if you’re studying the effect of caffeine on reaction times, it might make sense to conduct all experiments at the same time of day to prevent this extraneous variable from confounding the results. Reaction times change throughout the day and so if you test one group of subjects at 3pm and another group right before they go to bed, you may falsely conclude that the second group had slower reaction times.
Operationalisation of variables is where researchers clearly and measurably define the variables in their study."
